TF,Target,Score
2,120,0.3417215618197167
2,190,0.3447135531792292
4,190,0.3507273187045573
4,110,0.381625536021195
4,150,0.4981394642994871
4,165,0.3626513179637367
7,161,0.3198055059962694
7,133,0.3823208197305734
8,106,0.3762958192881839
11,136,0.360388304509417
12,125,0.6238064553721222
13,145,0.3739830546479923
14,140,0.3410027823851838
15,187,0.4514092849847623
16,172,0.3381911671104048
16,110,0.3270834068189927
16,123,0.3660387997949511
16,180,1.0
16,188,0.6997461156698193
16,183,0.7252471724290491
18,199,0.4190188242383257
21,173,0.3661590602183159
22,101,0.5498727928480902
24,189,0.4482259640692836
24,128,0.4320839181483329
26,174,0.3364370507264358
26,102,0.3694679390702058
27,159,0.3282246109023999
30,102,0.3628424447169184
31,124,0.4612234724318296
34,123,0.3279023425304217
35,191,0.3195141467760106
39,195,0.3740907053877921
40,118,0.370659108786466
40,107,0.4273674776761891
42,114,0.3939794584489807
44,165,0.4683771324965772
50,123,0.323113033911358
50,196,0.6044482936141244
51,181,0.42305987239041
52,156,0.4207954772927266
52,103,0.5039400458446593
54,100,0.3650827819388341
56,134,0.3797290590561978
56,193,0.3392988675360269
56,178,0.3432167298504527
57,119,0.3273486384410782
58,131,0.3439079243163893
58,197,0.3697449047890313
60,170,0.5828786785349206
60,184,0.4192521445083648
62,159,0.559272683368337
65,132,0.4211817341799831
65,190,0.4020679548118834
65,171,0.33249071665351
65,184,0.5230976175978175
68,127,0.4561520435473672
69,109,0.4357337633855553
72,151,0.3279905241804213
72,128,0.3379308017969947
72,142,0.3698176326121434
72,132,0.4344728825127973
73,142,0.3700753305373129
73,124,0.553803512119181
73,194,0.7376695675262297
74,197,0.4264210625532286
76,153,0.3457195892046178
77,177,0.5262951727686493
77,169,0.3562314878788103
78,166,0.3317440263817189
78,109,0.3383925979458276
78,147,0.3470127682297307
79,168,0.3372468939620085
79,192,0.3556782832856745
81,143,0.48113307799823
82,139,0.3173895767359817
82,168,0.3916385539944264
82,174,0.3563972492027718
83,113,0.5059285945357792
83,129,0.3879613976815784
83,187,0.4172055933643102
84,186,0.3850150015133416
84,162,0.3898581542126217
85,137,0.3643142553950474
85,104,0.3485904596303772
85,112,0.3566613358187739
85,108,0.3574767677342781
85,130,0.4157023944080961
85,199,0.3447845647208309
87,158,0.3176585481290184
88,140,0.3627794548740517
91,167,0.3304135955663438
91,112,0.3894452354027068
92,145,0.3473188654632841
92,195,0.5219527400285343
92,167,0.4392575183520038
94,101,0.3453249718181457
98,143,0.4005794887979548
99,176,0.335449087323513
99,182,0.4615560013898296
