TF,Target,Score
0,111,0.2826368514847007
0,178,0.2465948935467573
0,172,0.1859942692871819
0,149,0.1927138273212689
0,143,0.2061528273363825
0,136,0.1813872123059099
0,179,0.3115191390216589
0,113,0.1720964663547108
1,164,0.2857358475096286
1,167,0.1689947140159503
1,116,0.2263839674194015
1,183,0.1782400009453845
2,180,0.23282815356454
2,101,0.1911824001647769
2,190,0.3447135531792292
2,169,0.1836394069863517
2,120,0.3417215618197167
2,160,0.3054569357371886
2,155,0.2462905067527699
2,182,0.3011310149138856
3,189,0.1831582486221417
4,138,0.2749199109676478
4,110,0.381625536021195
4,152,0.1823396938327187
4,184,0.3012514883300175
4,165,0.3626513179637367
4,150,0.4981394642994871
4,190,0.3507273187045573
4,135,0.1904309826123192
5,112,0.1812728739784401
6,186,0.2481379908269978
6,128,0.2315775528432297
7,111,0.3052981017264239
7,138,0.2911272947377631
7,161,0.3198055059962694
7,133,0.3823208197305734
7,175,0.1913302520892008
7,169,0.2496779210575037
7,155,0.1972576900222889
7,122,0.1969997054087099
7,158,0.2610339814412002
7,193,0.2355434543126636
8,144,0.2914273988471126
8,162,0.168487455607013
8,106,0.3762958192881839
9,120,0.3133582147470986
9,153,0.2259239270692639
10,198,0.1689283711296267
11,118,0.2036445676713855
11,157,0.2642683389104314
11,174,0.1759091776577455
11,136,0.360388304509417
11,168,0.2034500655529475
11,151,0.2806521094123001
11,152,0.1993028158843652
11,148,0.2844442208778727
11,141,0.2065080798939264
12,125,0.6238064553721222
12,172,0.2038880680046022
12,182,0.1702539622004882
12,193,0.180966357148709
12,119,0.2347227874710784
12,173,0.2263901660907653
12,158,0.1660253213133303
12,175,0.2719242687752015
12,134,0.2734970905160452
13,102,0.1717498061586115
13,146,0.2648536194446067
13,145,0.3739830546479923
14,196,0.2331580531902507
14,140,0.3410027823851838
14,169,0.1795039129985269
14,115,0.264194638323234
14,111,0.2110121233785151
14,191,0.2971254724448592
14,146,0.2500229402609384
15,106,0.2209497461284515
15,169,0.2601121690928458
15,132,0.1663109920781418
15,187,0.4514092849847623
15,152,0.2217010494602138
16,169,0.2685698863395102
16,107,0.2598942343355355
16,179,0.2070121265089462
16,180,1.0
16,110,0.3270834068189927
16,123,0.3660387997949511
16,197,0.1772591357221243
16,154,0.167554318341805
16,188,0.6997461156698193
16,120,0.177168394136287
16,111,0.1776036866338306
16,172,0.3381911671104048
16,166,0.1941270261146008
16,183,0.7252471724290491
17,193,0.2482965506081756
17,140,0.1663430294606487
17,113,0.2902831805706925
17,102,0.2021101318653195
18,149,0.307003378219621
18,108,0.1730546562740938
18,199,0.4190188242383257
18,105,0.1791451125670377
18,135,0.1876132190160087
18,162,0.1675067519506388
19,120,0.2215545119317404
19,134,0.1953635734973611
19,122,0.2483214083974135
19,132,0.1764562194515146
20,145,0.1938793351335023
21,173,0.3661590602183159
21,151,0.2119785690465848
21,126,0.2708907890780869
21,175,0.2205136116681667
21,156,0.2641258448736391
21,181,0.1676593066283324
22,101,0.5498727928480902
22,198,0.211460695376051
23,103,0.2178039405882244
23,171,0.1866750751140786
23,165,0.1752071730496975
23,142,0.2263271301478887
23,193,0.1866066172853372
24,189,0.4482259640692836
24,145,0.214865324784037
24,128,0.4320839181483329
25,130,0.2761022867305656
25,112,0.2931887078163966
25,117,0.2075235410117944
25,133,0.2368970630632961
25,179,0.2259324754733018
26,160,0.1814121491624538
26,192,0.2348636450866156
26,174,0.3364370507264358
26,147,0.1913126149639875
26,158,0.1921950411890106
